track_id,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,umur,calm,energic,sad,happy
4XMBDixIJVUx67AQQOgwsM,Lingkaran Kecil Lingkaran Besar,Felicia,0.839,0.646,3,-7.209,1,0.0358,0.176,0.00208,0.0868,0.792,140.022,197161,4,anak-anak,1,0,0,1
5py204oNSCPQ70X4WuExgt,Nyamuk Nakal,Papa T Bob,0.756,0.845,1,-8.61,1,0.0494,0.0573,0.000299,0.193,0.916,140.97,267294,4,anak-anak,1,0,0,1
3pd0QaDcHknH5WuVuHOBzP,Naik Delman,Calista Amadea,0.729,0.683,9,-5.02,1,0.0364,0.553,0.0276,0.428,0.762,119.885,191080,4,anak-anak,1,0,0,0
2vFQvdmXEbLhJ0PCBPOlSi,Balonku,Satulaga,0.71,0.616,0,-4.342,1,0.0261,0.1,0.501,0.0753,0.73,99.979,210520,4,anak-anak,0,0,0,0
3E8iNKIn4rwyrgNwgisZy4,Balonku,Uwa and Friends,0.723,0.507,0,-6.626,1,0.0255,0.0188,0.0,0.106,0.755,75.71,126772,4,anak-anak,1,0,0,0
51AKIPIUKm8ULVVPELAUZR,Pelangi Pelangi,Uwa and Friends,0.643,0.634,4,-7.35,1,0.0248,0.027,0.0,0.337,0.392,124.926,177345,4,anak-anak,1,0,1,0
5WZG1VlqL0IQp5981QyPOG,Cicak Cicak Di Dinding,Zoe Dan Sahabat,0.532,0.752,0,-4.803,1,0.0513,0.026,0.000534,0.387,0.7,185.466,140042,4,anak-anak,1,1,0,1
3nkkwPzL6aflZXhT5a5tNx,Roda Roda Bus,Zoe Dan Sahabat,0.633,0.565,4,-4.574,1,0.0287,0.194,0.0,0.432,0.663,129.918,196500,4,anak-anak,1,0,0,1
6wqw8lQJMGZsaz4NgpSVxd,Roda Roda Mobil Bis Berputar,Diva dan Pupus,0.708,0.629,7,-10.173,1,0.031,0.223,0.000626,0.298,0.602,85.036,121400,4,anak-anak,1,0,0,0
23LaOiu15WggOhTpvX5dqs,Roda di Bus,Cocobi,0.837,0.79,2,-3.948,1,0.0278,0.459,0.0,0.129,0.851,139.928,101143,4,anak-anak,1,0,0,1
0rkqJgvd65tT5t9HRVCrQ3,Laba-Laba Kecil,Cocobi,0.881,0.763,0,-3.21,1,0.0505,0.0792,0.000171,0.0826,0.488,115.017,73373,4,anak-anak,1,0,1,0
5ygDXis42ncn6kYG14lEVG,Baby Shark,Pinkfong,0.829,0.886,8,-1.746,1,0.112,0.259,0.0,0.0559,0.777,115.056,80927,4,anak-anak,1,0,0,0
0VbK8BvnhmNZTyc6LqyxaK,Bis Sekolah,Trio Kwek-Kwek,0.657,0.724,9,-10.879,1,0.0441,0.0473,0.000144,0.178,0.967,156.784,274411,4,anak-anak,1,1,0,1
